press(mb),height(m),temp(celsius),dewpoint(celsius),wind_dir(degree),wind_vel(kt)
983.0,0.0,23.2,21.5,0.0,0.0
925.0,842.0,22.4,16.4,60.0,6.0
850.0,1573.0,17.4,12.6,95.0,12.0
700.0,3211.0,9.2,1.2,115.0,11.0
500.0,5930.0,-4.9,-18.9,190.0,10.0
400.0,7650.0,-14.3,-34.3,235.0,8.0
300.0,9770.0,-28.3,-47.3,230.0,14.0
250.0,11050.0,-39.3,-53.3,245.0,13.0
200.0,12530.0,-52.7,-64.7,235.0,11.0
150.0,14330.0,-67.5,-80.5,230.0,20.0
106.0,18288.0,-81.3,-93.3,245.0,10.0
100.0,16670.0,-81.3,-94.3,240.0,16.0
